Plant_ID,Predominant Growth Month,Avg Temp (°C),Avg Humidity (%),Avg TDS,Avg pH,Total Growth Days,,Findings
1,August,30.25,63.00,589.40,6.43,58.00,,All plant are predominantly grown in August. There is no enough data to compare different months plant was grown in against its growth rate
2,August,30.33,63.36,589.47,6.42,58.00,,
3,August,30.61,63.57,589.16,6.43,47.00,,
4,August,30.65,63.50,590.38,6.44,48.00,,
5,August,30.63,63.50,594.86,6.45,45.00,,
6,August,30.63,63.09,592.29,6.44,45.00,,
7,August,30.59,63.10,596.07,6.44,47.00,,
8,August,30.63,63.14,595.07,6.45,45.00,,
9,August,30.64,63.03,595.36,6.45,46.00,,
10,August,30.63,63.10,593.67,6.45,45.00,,
11,August,30.67,63.21,590.38,6.46,47.00,,
12,August,30.63,63.10,590.28,6.46,45.00,,
13,August,30.63,63.29,593.91,6.46,45.00,,
14,August,30.63,63.24,596.78,6.47,45.00,,
15,August,30.63,63.28,592.03,6.47,45.00,,
16,August,30.63,63.07,589.17,6.47,46.00,,
17,August,30.63,63.22,586.10,6.47,45.00,,
18,August,30.63,63.21,583.52,6.48,45.00,,
19,August,30.63,63.09,579.00,6.47,45.00,,
20,August,30.63,62.88,582.24,6.48,45.00,,
21,August,30.63,63.07,585.78,6.48,45.00,,
22,August,30.63,63.28,581.48,6.48,45.00,,
23,August,30.67,62.95,580.84,6.48,46.00,,
24,August,30.44,63.05,579.86,6.47,45.00,,
25,August,30.63,63.10,576.59,6.46,45.00,,
26,August,30.63,63.12,573.79,6.46,45.00,,
27,August,30.63,62.88,575.97,6.46,45.00,,
28,August,30.63,62.76,576.95,6.45,45.00,,
29,August,30.63,62.88,576.60,6.45,45.00,,
30,August,30.63,62.90,574.90,6.45,45.00,,
31,August,30.63,63.00,575.26,6.45,45.00,,
32,August,30.63,63.36,575.17,6.45,45.00,,
33,August,30.63,63.03,572.33,6.44,45.00,,
34,August,30.63,63.14,572.00,6.44,45.00,,
35,August,30.63,63.28,569.00,6.44,45.00,,
36,August,30.63,63.26,568.79,6.44,45.00,,
37,August,30.63,63.41,572.43,6.45,45.00,,
38,August,30.63,63.29,571.74,6.46,45.00,,
39,August,30.63,63.33,574.57,6.45,45.00,,
40,August,30.63,63.43,573.71,6.46,45.00,,
41,August,30.63,63.03,575.86,6.47,45.00,,
42,August,30.63,63.10,577.26,6.47,45.00,,
43,August,30.63,63.41,572.90,6.48,45.00,,
44,August,30.63,63.36,573.81,6.47,45.00,,
45,August,30.63,63.31,573.69,6.47,45.00,,
46,August,30.63,63.50,575.10,6.48,45.00,,
47,August,30.63,63.50,575.02,6.48,45.00,,
48,August,30.62,63.50,575.62,6.49,47.00,,
49,August,30.63,63.67,575.72,6.49,45.00,,
50,August,30.63,63.67,575.64,6.49,45.00,,
51,August,30.63,63.67,575.81,6.49,45.00,,
52,August,21.16,63.67,575.90,6.48,45.00,,
53,August,21.77,63.67,575.29,6.48,45.00,,
54,August,21.14,63.50,575.19,6.48,45.00,,
55,August,21.82,63.50,575.28,6.48,47.00,,
56,August,21.79,63.50,575.10,6.48,45.00,,
57,August,21.07,63.50,575.02,6.48,46.00,,
58,August,21.43,63.50,575.62,6.49,45.00,,
59,August,21.90,63.67,575.72,6.49,45.00,,
60,August,21.33,63.28,577.12,6.49,45.00,,
61,August,21.04,63.24,580.55,6.48,45.00,,
62,August,21.41,63.41,578.60,6.48,45.00,,
63,August,21.09,63.31,575.93,6.47,45.00,,
64,August,21.57,63.57,580.19,6.47,45.00,,
65,August,22.05,63.60,581.86,6.47,45.00,,
66,August,21.33,63.66,583.02,6.46,45.00,,
67,August,21.31,63.79,586.29,6.46,45.00,,
68,August,21.60,63.60,585.72,6.47,45.00,,
69,August,21.38,63.67,586.71,6.47,45.00,,
70,August,21.77,63.40,588.10,6.47,46.00,,
