Date,Median Wage,,
1968,938.6,,
1970,1086.8,,
1971,1206.4,,
1972,1352,,
1973,1536.6,,
1974,1781,,
1975,2340,,
1976,2813.2,,
1977,3099.2,,
1978,3478.8,,
1979,3959.8,,
1980,4828.2,,
1981,5426.2,,
1982,5956.6,,
1983,6476.6,,
1984,7399.6,,
1985,7930,,
1986,8517.6,,
1987,9105.2,,
1988,9926.8,,
1989,10883.6,,
1990,11928.8,,
1991,12838.8,,
1992,13759.2,,
1993,14211.6,,
1994,14658.8,,
1995,15095.6,,
1996,15657.2,,
1997,16718,,
1998,17461.6,,
1999,18007.6,,
2000,18720,,
2001,19624.8,,
2002,20394.4,,
2003,21070.4,,
2004,22058.4,,
2005,22448.4,,
2006,23290.8,,
2007,23883.6,,
2008,24913.2,,
2009,25474.8,,
2010,26015.6,,
2011,26135.2,,
2012,26410.8,,
2013,26915.2,,
2014,27060.8,,
2015,27482,,
2016,28085.2,,
2017,28704,,
2018,29650.4,,
2019,30524,,
2020,30513.6,,
2021,31865.6,,
2022,33498.4,,
2023,35495.2,,
